track_id,track,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,"target (t hit, 0 flop)"
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),Travis Scott;Playboi Carti,0.569,0.882,-2.777,0.06,0.0316,0.0,0.142,0.201,0
2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,Doja Cat,0.868,0.538,-8.603,0.174,0.269,3.34e-06,0.0901,0.732,0
5JYPXqMwYc0zTODQdjMEZN,Deli,Ice Spice,0.789,0.763,-6.169,0.199,0.123,2.22e-05,0.132,0.272,0
7aRCf5cLOFN1U7kvtChY1G,Search & Rescue,Drake,0.817,0.44,-8.482,0.0734,0.0603,1.42e-06,0.33,0.544,0
67nepsnrcZkowTxMWigSbb,MELTDOWN (feat. Drake),Travis Scott;Drake,0.557,0.774,-5.275,0.351,0.012,0.0,0.396,0.397,0
6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,Travis Scott,0.927,0.619,-4.441,0.0539,0.0186,0.0,0.104,0.817,0
6pD0ufEQq0xdHSsRbg9LBK,un x100to,Grupo Frontera;Bad Bunny,0.569,0.724,-4.076,0.0474,0.228,0.0,0.27,0.562,0
3KCNiDi9Pza6ZD8FggNoaw,MODERN JAM (feat. Teezo Touchdown),Travis Scott;Teezo Touchdown,0.517,0.539,-6.474,0.038,0.000564,1.4e-05,0.537,0.531,0
0DWdj2oZMBFSzRsi2Cvfzf,TQG,KAROL G;Shakira,0.72,0.63,-3.547,0.277,0.673,0.0,0.0936,0.607,0
7uSLF2yhpjLlYBLtyPX3Lb,PLEBADA,El Alfa;Peso Pluma,0.847,0.988,-0.517,0.103,0.283,0.000942,0.345,0.699,0
1olWQ1LOUYs4VBwx5N8Lz9,In Your Love,Tyler Childers,0.534,0.409,-9.559,0.0378,0.844,0.000656,0.115,0.243,0
2YVlDlk2zRceefo6XlC6DX,Ain’t That Some,Morgan Wallen,0.641,0.803,-5.781,0.0286,0.00232,3.86e-06,0.361,0.671,0
7fveJ3pk1eSfxBdVkzdXZ0,Cowgirls (feat. ERNEST),Morgan Wallen;ERNEST,0.624,0.766,-3.805,0.0359,0.199,8.62e-06,0.156,0.37,0
3kf0WdFOalKWBkCCLJo4mA,El Gordo Trae El Mando,Chino Pacas,0.736,0.8,-5.38,0.0525,0.179,0.0,0.0498,0.961,0
0GMiRrUnQuoGddKMsxGPIZ,Fear and Friday's,Zach Bryan,0.523,0.636,-5.813,0.0582,0.0541,2.63e-06,0.0716,0.155,0
505v13epFXodT9fVAJ6h8k,AMARGURA,KAROL G,0.92,0.696,-3.356,0.0742,0.183,0.0,0.149,0.545,0
76gcXhY3Zv6wW0BTe9nHJo,TIL FURTHER NOTICE (feat. James Blake & 21 Savage),Travis Scott;James Blake;21 Savage,0.65,0.659,-6.522,0.123,0.174,0.00772,0.126,0.154,0
5VxmI3IdgAxWVvUnJoLuY2,Speed Drive (From Barbie The Album),Charli XCX,0.652,0.879,-6.405,0.0784,0.00284,0.0896,0.0918,0.789,0
3Qu3Zh4WTKhP9GEXo0aDnb,Thought You Should Know,Morgan Wallen,0.53,0.678,-6.16,0.0278,0.506,6.23e-06,0.138,0.508,0
5twSy6ffBrF03mnNUsUgJZ,Need A Favor,Jelly Roll,0.504,0.771,-4.231,0.0319,0.0123,1.89e-05,0.078,0.555,0
2FDTHlrBguDzQkp7PVj16Q,Sprinter,Dave;Central Cee,0.916,0.583,-8.067,0.241,0.186,0.0,0.0798,0.661,0
7sliFe6W30tPBPh6dvZsIH,Area Codes,Kaliii,0.823,0.388,-10.867,0.491,0.0187,0.0,0.0876,0.507,0
3HOKxuTDmNVmIlCIpBiD8m,LAGUNAS,Peso Pluma;Jasiel Nuñez,0.77,0.622,-10.621,0.026,0.328,0.00603,0.149,0.792,0
4eMKD8MRroxCqugpsxCCNb,MOJABI GHOST,Tainy;Bad Bunny,0.805,0.707,-3.758,0.0353,0.142,3.71e-05,0.563,0.744,0
5LrN7yUQAzvthd4QujgPFr,Here With Me,d4vd,0.571,0.458,-9.283,0.0258,0.544,9.27e-05,0.123,0.299,0
6GGtHZgBycCgGBUhZo81xe,Say Yes To Heaven,Lana Del Rey,0.49,0.352,-11.577,0.0254,0.709,0.0856,0.114,0.166,0
